Code,GeoFips,GeoName,TimePeriod,Description,CL_UNIT,UNIT_MULT,DataValue,NoteRef,PI
SAINC1-2,26000,Michigan,1929,Population (persons),Number of persons,0,"4,795,000",,4795000.0
SAINC1-3,27000,Minnesota,1929,Per capita personal income (dollars),Dollars,0,594,,594.0
SAINC1-2,27000,Minnesota,1929,Population (persons),Number of persons,0,"2,572,000",,2572000.0
SAINC1-3,28000,Mississippi,1929,Per capita personal income (dollars),Dollars,0,277,,277.0
SAINC1-2,28000,Mississippi,1929,Population (persons),Number of persons,0,"1,998,000",,1998000.0
SAINC1-3,29000,Missouri,1929,Per capita personal income (dollars),Dollars,0,619,,619.0
SAINC1-2,29000,Missouri,1929,Population (persons),Number of persons,0,"3,622,000",,3622000.0
SAINC1-3,30000,Montana,1929,Per capita personal income (dollars),Dollars,0,592,,592.0
SAINC1-2,30000,Montana,1929,Population (persons),Number of persons,0,"524,000",,524000.0
SAINC1-3,31000,Nebraska,1929,Per capita personal income (dollars),Dollars,0,584,,584.0
SAINC1-2,31000,Nebraska,1929,Population (persons),Number of persons,0,"1,375,000",,1375000.0
SAINC1-3,32000,Nevada,1929,Per capita personal income (dollars),Dollars,0,874,,874.0
SAINC1-2,32000,Nevada,1929,Population (persons),Number of persons,0,"90,000",,90000.0
SAINC1-3,33000,New Hampshire,1929,Per capita personal income (dollars),Dollars,0,688,,688.0
SAINC1-2,33000,New Hampshire,1929,Population (persons),Number of persons,0,"467,000",,467000.0
SAINC1-3,34000,New Jersey,1929,Per capita personal income (dollars),Dollars,0,921,,921.0
SAINC1-2,34000,New Jersey,1929,Population (persons),Number of persons,0,"3,989,000",,3989000.0
SAINC1-3,35000,New Mexico,1929,Per capita personal income (dollars),Dollars,0,405,,405.0
SAINC1-2,35000,New Mexico,1929,Population (persons),Number of persons,0,"420,000",,420000.0
SAINC1-3,36000,New York,1929,Per capita personal income (dollars),Dollars,0,"1,156",,1156.0
SAINC1-2,36000,New York,1929,Population (persons),Number of persons,0,"12,171,000",,12171000.0
SAINC1-3,37000,North Carolina,1929,Per capita personal income (dollars),Dollars,0,327,,327.0
SAINC1-2,37000,North Carolina,1929,Population (persons),Number of persons,0,"3,133,000",,3133000.0
SAINC1-3,38000,North Dakota,1929,Per capita personal income (dollars),Dollars,0,377,,377.0
SAINC1-2,38000,North Dakota,1929,Population (persons),Number of persons,0,"674,000",,674000.0
SAINC1-3,39000,Ohio,1929,Per capita personal income (dollars),Dollars,0,772,,772.0
SAINC1-2,39000,Ohio,1929,Population (persons),Number of persons,0,"6,626,000",,6626000.0
SAINC1-3,40000,Oklahoma,1929,Per capita personal income (dollars),Dollars,0,449,,449.0
SAINC1-2,40000,Oklahoma,1929,Population (persons),Number of persons,0,"2,372,000",,2372000.0
SAINC1-3,41000,Oregon,1929,Per capita personal income (dollars),Dollars,0,666,,666.0
SAINC1-2,41000,Oregon,1929,Population (persons),Number of persons,0,"947,000",,947000.0
SAINC1-3,42000,Pennsylvania,1929,Per capita personal income (dollars),Dollars,0,776,,776.0
SAINC1-2,42000,Pennsylvania,1929,Population (persons),Number of persons,0,"9,723,000",,9723000.0
SAINC1-3,44000,Rhode Island,1929,Per capita personal income (dollars),Dollars,0,881,,881.0
SAINC1-2,44000,Rhode Island,1929,Population (persons),Number of persons,0,"684,000",,684000.0
SAINC1-3,45000,South Carolina,1929,Per capita personal income (dollars),Dollars,0,267,,267.0
SAINC1-2,45000,South Carolina,1929,Population (persons),Number of persons,0,"1,739,000",,1739000.0
SAINC1-3,46000,South Dakota,1929,Per capita personal income (dollars),Dollars,0,415,,415.0
SAINC1-2,46000,South Dakota,1929,Population (persons),Number of persons,0,"690,000",,690000.0
SAINC1-3,47000,Tennessee,1929,Per capita personal income (dollars),Dollars,0,373,,373.0
SAINC1-2,47000,Tennessee,1929,Population (persons),Number of persons,0,"2,604,000",,2604000.0
SAINC1-3,48000,Texas,1929,Per capita personal income (dollars),Dollars,0,474,,474.0
SAINC1-2,48000,Texas,1929,Population (persons),Number of persons,0,"5,762,000",,5762000.0
SAINC1-3,49000,Utah,1929,Per capita personal income (dollars),Dollars,0,548,,548.0
SAINC1-2,49000,Utah,1929,Population (persons),Number of persons,0,"508,000",,508000.0
SAINC1-3,50000,Vermont,1929,Per capita personal income (dollars),Dollars,0,630,,630.0
SAINC1-2,50000,Vermont,1929,Population (persons),Number of persons,0,"359,000",,359000.0
SAINC1-3,51000,Virginia,1929,Per capita personal income (dollars),Dollars,0,435,,435.0
SAINC1-2,51000,Virginia,1929,Population (persons),Number of persons,0,"2,425,000",,2425000.0
SAINC1-3,53000,Washington,1929,Per capita personal income (dollars),Dollars,0,740,,740.0
SAINC1-2,53000,Washington,1929,Population (persons),Number of persons,0,"1,555,000",,1555000.0
SAINC1-3,54000,West Virginia,1929,Per capita personal income (dollars),Dollars,0,459,,459.0
SAINC1-2,54000,West Virginia,1929,Population (persons),Number of persons,0,"1,717,000",,1717000.0
SAINC1-3,55000,Wisconsin,1929,Per capita personal income (dollars),Dollars,0,670,,670.0
SAINC1-2,55000,Wisconsin,1929,Population (persons),Number of persons,0,"2,934,000",,2934000.0
SAINC1-3,56000,Wyoming,1929,Per capita personal income (dollars),Dollars,0,672,,672.0
SAINC1-2,56000,Wyoming,1929,Population (persons),Number of persons,0,"223,000",,223000.0
SAINC1-3,01000,Alabama,1930,Per capita personal income (dollars),Dollars,0,263,,263.0
SAINC1-2,01000,Alabama,1930,Population (persons),Number of persons,0,"2,647,000",,2647000.0
SAINC1-3,02000,Alaska *,1930,Per capita personal income (dollars),Dollars,0,(NA),(NA),
SAINC1-2,02000,Alaska *,1930,Population (persons),Number of persons,0,(NA),(NA),
SAINC1-3,04000,Arizona,1930,Per capita personal income (dollars),Dollars,0,518,,518.0
SAINC1-2,04000,Arizona,1930,Population (persons),Number of persons,0,"434,000",,434000.0
SAINC1-3,05000,Arkansas,1930,Per capita personal income (dollars),Dollars,0,224,,224.0
SAINC1-2,05000,Arkansas,1930,Population (persons),Number of persons,0,"1,859,000",,1859000.0
SAINC1-3,06000,California,1930,Per capita personal income (dollars),Dollars,0,889,,889.0
SAINC1-2,06000,California,1930,Population (persons),Number of persons,0,"5,711,000",,5711000.0
SAINC1-3,08000,Colorado,1930,Per capita personal income (dollars),Dollars,0,574,,574.0
SAINC1-2,08000,Colorado,1930,Population (persons),Number of persons,0,"1,040,000",,1040000.0
SAINC1-3,09000,Connecticut,1930,Per capita personal income (dollars),Dollars,0,927,,927.0
SAINC1-2,09000,Connecticut,1930,Population (persons),Number of persons,0,"1,613,000",,1613000.0
SAINC1-3,10000,Delaware,1930,Per capita personal income (dollars),Dollars,0,858,,858.0
SAINC1-2,10000,Delaware,1930,Population (persons),Number of persons,0,"239,000",,239000.0
SAINC1-3,11000,District of Columbia,1930,Per capita personal income (dollars),Dollars,0,"1,314",,1314.0
SAINC1-2,11000,District of Columbia,1930,Population (persons),Number of persons,0,"488,000",,488000.0
SAINC1-3,12000,Florida,1930,Per capita personal income (dollars),Dollars,0,468,,468.0
SAINC1-2,12000,Florida,1930,Population (persons),Number of persons,0,"1,471,000",,1471000.0
SAINC1-3,13000,Georgia,1930,Per capita personal income (dollars),Dollars,0,303,,303.0
SAINC1-2,13000,Georgia,1930,Population (persons),Number of persons,0,"2,910,000",,2910000.0
SAINC1-3,15000,Hawaii *,1930,Per capita personal income (dollars),Dollars,0,(NA),(NA),
SAINC1-2,15000,Hawaii *,1930,Population (persons),Number of persons,0,(NA),(NA),
SAINC1-3,16000,Idaho,1930,Per capita personal income (dollars),Dollars,0,488,,488.0
SAINC1-2,16000,Idaho,1930,Population (persons),Number of persons,0,"447,000",,447000.0
SAINC1-3,17000,Illinois,1930,Per capita personal income (dollars),Dollars,0,810,,810.0
SAINC1-2,17000,Illinois,1930,Population (persons),Number of persons,0,"7,644,000",,7644000.0
SAINC1-3,18000,Indiana,1930,Per capita personal income (dollars),Dollars,0,512,,512.0
SAINC1-2,18000,Indiana,1930,Population (persons),Number of persons,0,"3,242,000",,3242000.0
SAINC1-3,19000,Iowa,1930,Per capita personal income (dollars),Dollars,0,501,,501.0
SAINC1-2,19000,Iowa,1930,Population (persons),Number of persons,0,"2,475,000",,2475000.0
SAINC1-3,20000,Kansas,1930,Per capita personal income (dollars),Dollars,0,460,,460.0
SAINC1-2,20000,Kansas,1930,Population (persons),Number of persons,0,"1,883,000",,1883000.0
SAINC1-3,21000,Kentucky,1930,Per capita personal income (dollars),Dollars,0,322,,322.0
SAINC1-2,21000,Kentucky,1930,Population (persons),Number of persons,0,"2,623,000",,2623000.0
SAINC1-3,22000,Louisiana,1930,Per capita personal income (dollars),Dollars,0,353,,353.0
SAINC1-2,22000,Louisiana,1930,Population (persons),Number of persons,0,"2,105,000",,2105000.0
SAINC1-3,23000,Maine,1930,Per capita personal income (dollars),Dollars,0,574,,574.0
SAINC1-2,23000,Maine,1930,Population (persons),Number of persons,0,"800,000",,800000.0
SAINC1-3,24000,Maryland,1930,Per capita personal income (dollars),Dollars,0,721,,721.0
SAINC1-2,24000,Maryland,1930,Population (persons),Number of persons,0,"1,636,000",,1636000.0
SAINC1-3,25000,Massachusetts,1930,Per capita personal income (dollars),Dollars,0,842,,842.0
SAINC1-2,25000,Massachusetts,1930,Population (persons),Number of persons,0,"4,250,000",,4250000.0
SAINC1-3,26000,Michigan,1930,Per capita personal income (dollars),Dollars,0,658,,658.0
SAINC1-2,26000,Michigan,1930,Population (persons),Number of persons,0,"4,834,000",,4834000.0
SAINC1-3,27000,Minnesota,1930,Per capita personal income (dollars),Dollars,0,547,,547.0
SAINC1-2,27000,Minnesota,1930,Population (persons),Number of persons,0,"2,576,000",,2576000.0
SAINC1-3,28000,Mississippi,1930,Per capita personal income (dollars),Dollars,0,197,,197.0
SAINC1-2,28000,Mississippi,1930,Population (persons),Number of persons,0,"2,006,000",,2006000.0
SAINC1-3,29000,Missouri,1930,Per capita personal income (dollars),Dollars,0,560,,560.0
SAINC1-2,29000,Missouri,1930,Population (persons),Number of persons,0,"3,646,000",,3646000.0
SAINC1-3,30000,Montana,1930,Per capita personal income (dollars),Dollars,0,501,,501.0
SAINC1-2,30000,Montana,1930,Population (persons),Number of persons,0,"539,000",,539000.0
SAINC1-3,31000,Nebraska,1930,Per capita personal income (dollars),Dollars,0,510,,510.0
SAINC1-2,31000,Nebraska,1930,Population (persons),Number of persons,0,"1,380,000",,1380000.0
SAINC1-3,32000,Nevada,1930,Per capita personal income (dollars),Dollars,0,834,,834.0
SAINC1-2,32000,Nevada,1930,Population (persons),Number of persons,0,"92,000",,92000.0
SAINC1-3,33000,New Hampshire,1930,Per capita personal income (dollars),Dollars,0,648,,648.0
SAINC1-2,33000,New Hampshire,1930,Population (persons),Number of persons,0,"466,000",,466000.0
SAINC1-3,34000,New Jersey,1930,Per capita personal income (dollars),Dollars,0,851,,851.0
SAINC1-2,34000,New Jersey,1930,Population (persons),Number of persons,0,"4,068,000",,4068000.0
SAINC1-3,35000,New Mexico,1930,Per capita personal income (dollars),Dollars,0,333,,333.0
SAINC1-2,35000,New Mexico,1930,Population (persons),Number of persons,0,"427,000",,427000.0
SAINC1-3,36000,New York,1930,Per capita personal income (dollars),Dollars,0,"1,042",,1042.0
SAINC1-2,36000,New York,1930,Population (persons),Number of persons,0,"12,647,000",,12647000.0
SAINC1-3,37000,North Carolina,1930,Per capita personal income (dollars),Dollars,0,287,,287.0
SAINC1-2,37000,North Carolina,1930,Population (persons),Number of persons,0,"3,167,000",,3167000.0
SAINC1-3,38000,North Dakota,1930,Per capita personal income (dollars),Dollars,0,308,,308.0
SAINC1-2,38000,North Dakota,1930,Population (persons),Number of persons,0,"682,000",,682000.0
SAINC1-3,39000,Ohio,1930,Per capita personal income (dollars),Dollars,0,664,,664.0
SAINC1-2,39000,Ohio,1930,Population (persons),Number of persons,0,"6,662,000",,6662000.0
SAINC1-3,40000,Oklahoma,1930,Per capita personal income (dollars),Dollars,0,365,,365.0
SAINC1-2,40000,Oklahoma,1930,Population (persons),Number of persons,0,"2,401,000",,2401000.0
SAINC1-3,41000,Oregon,1930,Per capita personal income (dollars),Dollars,0,605,,605.0
SAINC1-2,41000,Oregon,1930,Population (persons),Number of persons,0,"956,000",,956000.0
SAINC1-3,42000,Pennsylvania,1930,Per capita personal income (dollars),Dollars,0,717,,717.0
SAINC1-2,42000,Pennsylvania,1930,Population (persons),Number of persons,0,"9,649,000",,9649000.0
SAINC1-3,44000,Rhode Island,1930,Per capita personal income (dollars),Dollars,0,795,,795.0
SAINC1-2,44000,Rhode Island,1930,Population (persons),Number of persons,0,"686,000",,686000.0
SAINC1-3,45000,South Carolina,1930,Per capita personal income (dollars),Dollars,0,239,,239.0
SAINC1-2,45000,South Carolina,1930,Population (persons),Number of persons,0,"1,745,000",,1745000.0
SAINC1-3,46000,South Dakota,1930,Per capita personal income (dollars),Dollars,0,357,,357.0
SAINC1-2,46000,South Dakota,1930,Population (persons),Number of persons,0,"693,000",,693000.0
SAINC1-3,47000,Tennessee,1930,Per capita personal income (dollars),Dollars,0,321,,321.0
SAINC1-2,47000,Tennessee,1930,Population (persons),Number of persons,0,"2,619,000",,2619000.0
SAINC1-3,48000,Texas,1930,Per capita personal income (dollars),Dollars,0,407,,407.0
SAINC1-2,48000,Texas,1930,Population (persons),Number of persons,0,"5,844,000",,5844000.0
SAINC1-3,49000,Utah,1930,Per capita personal income (dollars),Dollars,0,494,,494.0
SAINC1-2,49000,Utah,1930,Population (persons),Number of persons,0,"509,000",,509000.0
SAINC1-3,50000,Vermont,1930,Per capita personal income (dollars),Dollars,0,572,,572.0
SAINC1-2,50000,Vermont,1930,Population (persons),Number of persons,0,"360,000",,360000.0
SAINC1-3,51000,Virginia,1930,Per capita personal income (dollars),Dollars,0,387,,387.0
SAINC1-2,51000,Virginia,1930,Population (persons),Number of persons,0,"2,427,000",,2427000.0
SAINC1-3,53000,Washington,1930,Per capita personal income (dollars),Dollars,0,657,,657.0
SAINC1-2,53000,Washington,1930,Population (persons),Number of persons,0,"1,568,000",,1568000.0
SAINC1-3,54000,West Virginia,1930,Per capita personal income (dollars),Dollars,0,407,,407.0
SAINC1-2,54000,West Virginia,1930,Population (persons),Number of persons,0,"1,733,000",,1733000.0
SAINC1-3,55000,Wisconsin,1930,Per capita personal income (dollars),Dollars,0,585,,585.0
SAINC1-2,55000,Wisconsin,1930,Population (persons),Number of persons,0,"2,950,000",,2950000.0
SAINC1-3,56000,Wyoming,1930,Per capita personal income (dollars),Dollars,0,582,,582.0
SAINC1-2,56000,Wyoming,1930,Population (persons),Number of persons,0,"226,000",,226000.0
SAINC1-3,01000,Alabama,1931,Per capita personal income (dollars),Dollars,0,220,,220.0
SAINC1-2,01000,Alabama,1931,Population (persons),Number of persons,0,"2,649,000",,2649000.0
SAINC1-3,02000,Alaska *,1931,Per capita personal income (dollars),Dollars,0,(NA),(NA),
SAINC1-2,02000,Alaska *,1931,Population (persons),Number of persons,0,(NA),(NA),
SAINC1-3,04000,Arizona,1931,Per capita personal income (dollars),Dollars,0,430,,430.0
SAINC1-2,04000,Arizona,1931,Population (persons),Number of persons,0,"429,000",,429000.0
SAINC1-3,05000,Arkansas,1931,Per capita personal income (dollars),Dollars,0,207,,207.0
SAINC1-2,05000,Arkansas,1931,Population (persons),Number of persons,0,"1,848,000",,1848000.0
SAINC1-3,06000,California,1931,Per capita personal income (dollars),Dollars,0,753,,753.0
SAINC1-2,06000,California,1931,Population (persons),Number of persons,0,"5,824,000",,5824000.0
SAINC1-3,08000,Colorado,1931,Per capita personal income (dollars),Dollars,0,472,,472.0
SAINC1-2,08000,Colorado,1931,Population (persons),Number of persons,0,"1,056,000",,1056000.0
SAINC1-3,09000,Connecticut,1931,Per capita personal income (dollars),Dollars,0,807,,807.0
SAINC1-2,09000,Connecticut,1931,Population (persons),Number of persons,0,"1,628,000",,1628000.0
SAINC1-3,10000,Delaware,1931,Per capita personal income (dollars),Dollars,0,776,,776.0
SAINC1-2,10000,Delaware,1931,Population (persons),Number of persons,0,"242,000",,242000.0
SAINC1-3,11000,District of Columbia,1931,Per capita personal income (dollars),Dollars,0,"1,253",,1253.0
SAINC1-2,11000,District of Columbia,1931,Population (persons),Number of persons,0,"504,000",,504000.0
SAINC1-3,12000,Florida,1931,Per capita personal income (dollars),Dollars,0,397,,397.0
SAINC1-2,12000,Florida,1931,Population (persons),Number of persons,0,"1,493,000",,1493000.0
SAINC1-3,13000,Georgia,1931,Per capita personal income (dollars),Dollars,0,254,,254.0
SAINC1-2,13000,Georgia,1931,Population (persons),Number of persons,0,"2,924,000",,2924000.0
SAINC1-3,15000,Hawaii *,1931,Per capita personal income (dollars),Dollars,0,(NA),(NA),
SAINC1-2,15000,Hawaii *,1931,Population (persons),Number of persons,0,(NA),(NA),
SAINC1-3,16000,Idaho,1931,Per capita personal income (dollars),Dollars,0,366,,366.0
SAINC1-2,16000,Idaho,1931,Population (persons),Number of persons,0,"454,000",,454000.0
SAINC1-3,17000,Illinois,1931,Per capita personal income (dollars),Dollars,0,673,,673.0
SAINC1-2,17000,Illinois,1931,Population (persons),Number of persons,0,"7,687,000",,7687000.0
SAINC1-3,18000,Indiana,1931,Per capita personal income (dollars),Dollars,0,435,,435.0
SAINC1-2,18000,Indiana,1931,Population (persons),Number of persons,0,"3,257,000",,3257000.0
SAINC1-3,19000,Iowa,1931,Per capita personal income (dollars),Dollars,0,396,,396.0
SAINC1-2,19000,Iowa,1931,Population (persons),Number of persons,0,"2,482,000",,2482000.0
SAINC1-3,20000,Kansas,1931,Per capita personal income (dollars),Dollars,0,394,,394.0
SAINC1-2,20000,Kansas,1931,Population (persons),Number of persons,0,"1,881,000",,1881000.0
SAINC1-3,21000,Kentucky,1931,Per capita personal income (dollars),Dollars,0,287,,287.0
SAINC1-2,21000,Kentucky,1931,Population (persons),Number of persons,0,"2,652,000",,2652000.0
SAINC1-3,22000,Louisiana,1931,Per capita personal income (dollars),Dollars,0,315,,315.0
SAINC1-2,22000,Louisiana,1931,Population (persons),Number of persons,0,"2,124,000",,2124000.0
SAINC1-3,23000,Maine,1931,Per capita personal income (dollars),Dollars,0,492,,492.0
SAINC1-2,23000,Maine,1931,Population (persons),Number of persons,0,"807,000",,807000.0
SAINC1-3,24000,Maryland,1931,Per capita personal income (dollars),Dollars,0,646,,646.0
SAINC1-2,24000,Maryland,1931,Population (persons),Number of persons,0,"1,657,000",,1657000.0
SAINC1-3,25000,Massachusetts,1931,Per capita personal income (dollars),Dollars,0,766,,766.0
SAINC1-2,25000,Massachusetts,1931,Population (persons),Number of persons,0,"4,248,000",,4248000.0
SAINC1-3,26000,Michigan,1931,Per capita personal income (dollars),Dollars,0,540,,540.0
SAINC1-2,26000,Michigan,1931,Population (persons),Number of persons,0,"4,798,000",,4798000.0
SAINC1-3,27000,Minnesota,1931,Per capita personal income (dollars),Dollars,0,457,,457.0
SAINC1-2,27000,Minnesota,1931,Population (persons),Number of persons,0,"2,614,000",,2614000.0
SAINC1-3,28000,Mississippi,1931,Per capita personal income (dollars),Dollars,0,169,,169.0
SAINC1-2,28000,Mississippi,1931,Population (persons),Number of persons,0,"1,994,000",,1994000.0
SAINC1-3,29000,Missouri,1931,Per capita personal income (dollars),Dollars,0,489,,489.0
SAINC1-2,29000,Missouri,1931,Population (persons),Number of persons,0,"3,711,000",,3711000.0
SAINC1-3,30000,Montana,1931,Per capita personal income (dollars),Dollars,0,387,,387.0
SAINC1-2,30000,Montana,1931,Population (persons),Number of persons,0,"540,000",,540000.0
SAINC1-3,31000,Nebraska,1931,Per capita personal income (dollars),Dollars,0,409,,409.0
SAINC1-2,31000,Nebraska,1931,Population (persons),Number of persons,0,"1,384,000",,1384000.0
SAINC1-3,32000,Nevada,1931,Per capita personal income (dollars),Dollars,0,665,,665.0
SAINC1-2,32000,Nevada,1931,Population (persons),Number of persons,0,"94,000",,94000.0
SAINC1-3,33000,New Hampshire,1931,Per capita personal income (dollars),Dollars,0,560,,560.0
SAINC1-2,33000,New Hampshire,1931,Population (persons),Number of persons,0,"470,000",,470000.0
SAINC1-3,34000,New Jersey,1931,Per capita personal income (dollars),Dollars,0,741,,741.0
SAINC1-2,34000,New Jersey,1931,Population (persons),Number of persons,0,"4,120,000",,4120000.0
SAINC1-3,35000,New Mexico,1931,Per capita personal income (dollars),Dollars,0,287,,287.0
SAINC1-2,35000,New Mexico,1931,Population (persons),Number of persons,0,"436,000",,436000.0
SAINC1-3,36000,New York,1931,Per capita personal income (dollars),Dollars,0,889,,889.0
SAINC1-2,36000,New York,1931,Population (persons),Number of persons,0,"12,848,000",,12848000.0
SAINC1-3,37000,North Carolina,1931,Per capita personal income (dollars),Dollars,0,244,,244.0
SAINC1-2,37000,North Carolina,1931,Population (persons),Number of persons,0,"3,184,000",,3184000.0
SAINC1-3,38000,North Dakota,1931,Per capita personal income (dollars),Dollars,0,195,,195.0
SAINC1-2,38000,North Dakota,1931,Population (persons),Number of persons,0,"680,000",,680000.0
SAINC1-3,39000,Ohio,1931,Per capita personal income (dollars),Dollars,0,563,,563.0
SAINC1-2,39000,Ohio,1931,Population (persons),Number of persons,0,"6,694,000",,6694000.0
SAINC1-3,40000,Oklahoma,1931,Per capita personal income (dollars),Dollars,0,294,,294.0
SAINC1-2,40000,Oklahoma,1931,Population (persons),Number of persons,0,"2,403,000",,2403000.0
SAINC1-3,41000,Oregon,1931,Per capita personal income (dollars),Dollars,0,504,,504.0
SAINC1-2,41000,Oregon,1931,Population (persons),Number of persons,0,"966,000",,966000.0
SAINC1-3,42000,Pennsylvania,1931,Per capita personal income (dollars),Dollars,0,605,,605.0
SAINC1-2,42000,Pennsylvania,1931,Population (persons),Number of persons,0,"9,707,000",,9707000.0
SAINC1-3,44000,Rhode Island,1931,Per capita personal income (dollars),Dollars,0,718,,718.0
SAINC1-2,44000,Rhode Island,1931,Population (persons),Number of persons,0,"681,000",,681000.0
SAINC1-3,45000,South Carolina,1931,Per capita personal income (dollars),Dollars,0,203,,203.0
SAINC1-2,45000,South Carolina,1931,Population (persons),Number of persons,0,"1,753,000",,1753000.0
SAINC1-3,46000,South Dakota,1931,Per capita personal income (dollars),Dollars,0,242,,242.0
SAINC1-2,46000,South Dakota,1931,Population (persons),Number of persons,0,"694,000",,694000.0
SAINC1-3,47000,Tennessee,1931,Per capita personal income (dollars),Dollars,0,273,,273.0
SAINC1-2,47000,Tennessee,1931,Population (persons),Number of persons,0,"2,657,000",,2657000.0
SAINC1-3,48000,Texas,1931,Per capita personal income (dollars),Dollars,0,345,,345.0
SAINC1-2,48000,Texas,1931,Population (persons),Number of persons,0,"5,907,000",,5907000.0
SAINC1-3,49000,Utah,1931,Per capita personal income (dollars),Dollars,0,372,,372.0
SAINC1-2,49000,Utah,1931,Population (persons),Number of persons,0,"513,000",,513000.0
SAINC1-3,50000,Vermont,1931,Per capita personal income (dollars),Dollars,0,471,,471.0
SAINC1-2,50000,Vermont,1931,Population (persons),Number of persons,0,"359,000",,359000.0
SAINC1-3,51000,Virginia,1931,Per capita personal income (dollars),Dollars,0,371,,371.0
SAINC1-2,51000,Virginia,1931,Population (persons),Number of persons,0,"2,445,000",,2445000.0
SAINC1-3,53000,Washington,1931,Per capita personal income (dollars),Dollars,0,534,,534.0
SAINC1-2,53000,Washington,1931,Population (persons),Number of persons,0,"1,581,000",,1581000.0
SAINC1-3,54000,West Virginia,1931,Per capita personal income (dollars),Dollars,0,354,,354.0
